JetBrains Amper version 0.3.1+b6fbf1d
running on Mac OS X 14.5 jvm arch aarch64

00:01.352 INFO  :jvm-app:resolveDependenciesJvm ExecuteOnChangedInputs    ':jvm-app:resolveDependenciesJvm' is up-to-date
00:01.351 INFO  :shared:resolveDependenciesJvm ExecuteOnChangedInputs    ':shared:resolveDependenciesJvm' is up-to-date
00:01.393 INFO  :shared:compileJvm        ExecuteOnChangedInputs    building ':shared:compileJvm'
00:01.407 INFO  :shared:compileJvm        ExecuteOnChangedInputs    'resolve-org.jetbrains.kotlin-kotlin-build-tools-impl-2.0.0' is up-to-date
00:01.439 INFO  :shared:compileJvm        ExecuteOnChangedInputs    'resolve-org.jetbrains.kotlin-kotlin-serialization-compiler-plugin-embeddable-2.0.0' is up-to-date
00:01.439 INFO  :shared:compileJvm        ExecuteOnChangedInputs    'resolve-org.jetbrains.kotlin-kotlin-compose-compiler-plugin-embeddable-2.0.0' is up-to-date
00:01.463 INFO  :shared:compileJvm        KotlinBuildToolsApiKt     i: [-Xjdk-release=17, -jdk-home, /Users/charlie/Library/Caches/Amper/extract.cache/34yizgofu6-amazon-corretto-21.0.1.12.1-macosx-aarch64.tar.gz.18schu.d/Contents/Home, -classpath, /Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlin/kotlin-stdlib/2.0.0/kotlin-stdlib-2.0.0.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-client-core-jvm/2.3.11/ktor-client-core-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-client-cio-jvm/2.3.11/ktor-client-cio-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-client-content-negotiation-jvm/2.3.11/ktor-client-content-negotiation-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-serialization-kotlinx-json-jvm/2.3.11/ktor-serialization-kotlinx-json-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/foundation/foundation-desktop/1.6.10/foundation-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/material3/material3-desktop/1.6.10/material3-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/annotations/23.0.0/annotations-23.0.0.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlinx/kotlinx-serialization-json-jvm/1.5.1/kotlinx-serialization-json-jvm-1.5.1.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlin/kotlin-stdlib-jdk7/1.8.22/kotlin-stdlib-jdk7-1.8.22.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlin/kotlin-stdlib-jdk8/1.8.22/kotlin-stdlib-jdk8-1.8.22.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlinx/kotlinx-coroutines-jdk8/1.7.1/kotlinx-coroutines-jdk8-1.7.1.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/slf4j/slf4j-api/1.7.36/slf4j-api-1.7.36.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlin/kotlin-stdlib-common/1.8.22/kotlin-stdlib-common-1.8.22.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.8.0/kotlinx-coroutines-core-jvm-1.8.0.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-http-jvm/2.3.11/ktor-http-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-events-jvm/2.3.11/ktor-events-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-websocket-serialization-jvm/2.3.11/ktor-websocket-serialization-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-http-cio-jvm/2.3.11/ktor-http-cio-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-websockets-jvm/2.3.11/ktor-websockets-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-network-tls-jvm/2.3.11/ktor-network-tls-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-serialization-jvm/2.3.11/ktor-serialization-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-serialization-kotlinx-jvm/2.3.11/ktor-serialization-kotlinx-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/animation/animation-desktop/1.6.10/animation-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/runtime/runtime-desktop/1.6.10/runtime-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-desktop/1.6.10/ui-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/skiko/skiko-awt/0.8.4/skiko-awt-0.8.4.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/material/material-icons-core-desktop/1.6.10/material-icons-core-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/material/material-ripple-desktop/1.6.10/material-ripple-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-graphics-desktop/1.6.10/ui-graphics-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-text-desktop/1.6.10/ui-text-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlinx/kotlinx-serialization-core-jvm/1.5.1/kotlinx-serialization-core-jvm-1.5.1.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-utils-jvm/2.3.11/ktor-utils-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-network-jvm/2.3.11/ktor-network-jvm-2.3.11.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/animation/animation-core-desktop/1.6.10/animation-core-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/foundation/foundation-layout-desktop/1.6.10/foundation-layout-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-geometry-desktop/1.6.10/ui-geometry-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/runtime/runtime-saveable-desktop/1.6.10/runtime-saveable-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-unit-desktop/1.6.10/ui-unit-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-util-desktop/1.6.10/ui-util-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/io/ktor/ktor-io-jvm/2.3.11/ktor-io-jvm-2.3.11.jar, -no-stdlib, -language-version, 1.9, -api-version, 1.9, -Xplugin=/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlin/kotlin-serialization-compiler-plugin-embeddable/2.0.0/kotlin-serialization-compiler-plugin-embeddable-2.0.0.jar, -Xplugin=/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlin/kotlin-compose-compiler-plugin-embeddable/2.0.0/kotlin-compose-compiler-plugin-embeddable-2.0.0.jar, -d, /Users/charlie/Documents/dev/centyllion/BlackMagicRestControlUI/build/tasks/_shared_compileJvm]
00:04.674 INFO  :shared:compileJvm        ExecuteOnChangedInputs    finished ':shared:compileJvm' in 3.278163416s
00:04.687 INFO  :jvm-app:compileJvm       ExecuteOnChangedInputs    building ':jvm-app:compileJvm'
00:04.692 INFO  :jvm-app:compileJvm       ExecuteOnChangedInputs    'resolve-org.jetbrains.kotlin-kotlin-compose-compiler-plugin-embeddable-2.0.0' is up-to-date
00:04.700 INFO  :jvm-app:compileJvm       KotlinBuildToolsApiKt     i: [-Xjdk-release=17, -jdk-home, /Users/charlie/Library/Caches/Amper/extract.cache/34yizgofu6-amazon-corretto-21.0.1.12.1-macosx-aarch64.tar.gz.18schu.d/Contents/Home, -classpath, /Users/charlie/Documents/dev/centyllion/BlackMagicRestControlUI/build/tasks/_shared_compileJvm:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlin/kotlin-stdlib/2.0.0/kotlin-stdlib-2.0.0.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/annotations/23.0.0/annotations-23.0.0.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/desktop/desktop-jvm/1.6.10/desktop-jvm-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/foundation/foundation-desktop/1.6.10/foundation-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/material/material-desktop/1.6.10/material-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/runtime/runtime-desktop/1.6.10/runtime-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-desktop/1.6.10/ui-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-tooling-preview-desktop/1.6.10/ui-tooling-preview-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/animation/animation-desktop/1.6.10/animation-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/skiko/skiko-awt/0.8.4/skiko-awt-0.8.4.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/animation/animation-core-desktop/1.6.10/animation-core-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/material/material-icons-core-desktop/1.6.10/material-icons-core-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/material/material-ripple-desktop/1.6.10/material-ripple-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-text-desktop/1.6.10/ui-text-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.8.0/kotlinx-coroutines-core-jvm-1.8.0.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/runtime/runtime-saveable-desktop/1.6.10/runtime-saveable-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-geometry-desktop/1.6.10/ui-geometry-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-graphics-desktop/1.6.10/ui-graphics-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-unit-desktop/1.6.10/ui-unit-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/ui/ui-util-desktop/1.6.10/ui-util-desktop-1.6.10.jar:/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/compose/foundation/foundation-layout-desktop/1.6.10/foundation-layout-desktop-1.6.10.jar, -no-stdlib, -language-version, 1.9, -api-version, 1.9, -Xplugin=/Users/charlie/Library/Caches/Amper/.m2.cache/org/jetbrains/kotlin/kotlin-compose-compiler-plugin-embeddable/2.0.0/kotlin-compose-compiler-plugin-embeddable-2.0.0.jar, -d, /Users/charlie/Documents/dev/centyllion/BlackMagicRestControlUI/build/tasks/_jvm-app_compileJvm]
00:04.956 INFO  :jvm-app:compileJvm       ExecuteOnChangedInputs    finished ':jvm-app:compileJvm' in 266.374584ms
